Feature set 1;Feature set 2;Feature set 3;Feature set 4;Feature set 5
lspFreq_sma.1._linregc1;lspFreq_sma_de.5._linregc1;lspFreq_sma.6._kurtosis;lspFreq_sma.6._kurtosis;mfcc_sma.3._kurtosis
mfcc_sma.3._kurtosis;lspFreq_sma_de.4._kurtosis;F0_sma_de_quartile2;voiceProb_sma_de_linregerrQ;voiceProb_sma_quartile3
mfcc_sma_de.7._linregc2;mfcc_sma_de.7._linregc2;voiceProb_sma_de_linregerrQ;lspFreq_sma_de.2._linregc2;pcm_loudness_sma_de_amean
voiceProb_sma_de_linregerrQ;lspFreq_sma_de.2._amean;F0env_sma_kurtosis;mfcc_sma_de.6._linregc2;pcm_zcr_sma_de_linregc2
mfcc_sma.8._quartile3;mfcc_sma.10._linregc1;mfcc_sma_de.6._linregc2;mfcc_sma.10._iqr1.2;lspFreq_sma_de.0._iqr1.2
F0env_sma_kurtosis;pcm_zcr_sma_de_linregc2;mfcc_sma_de.8._amean;lspFreq_sma.6._min;mfcc_sma_de.11._linregc2
lspFreq_sma_de.6._iqr2.3;lspFreq_sma_de.6._linregc2;mfcc_sma.11._amean;F0env_sma_kurtosis;lspFreq_sma.6._kurtosis
lspFreq_sma.6._kurtosis;lspFreq_sma.1._kurtosis;lspFreq_sma.7._quartile3;lspFreq_sma.4._skewness;mfcc_sma.8._quartile3
pcm_zcr_sma_de_linregc2;mfcc_sma_de.1._kurtosis;mfcc_sma.3._kurtosis;mfcc_sma.3._kurtosis;mfcc_sma.11._amean
pcm_loudness_sma_de_amean;lspFreq_sma_de.7._linregc2;mfcc_sma_de.7._linregc2;F0env_sma_stddev;lspFreq_sma.4._max
lspFreq_sma.5._skewness;mfcc_sma.1._kurtosis;pcm_loudness_sma_de_amean;pcm_zcr_sma_kurtosis;lspFreq_sma_de.5._linregc1
mfcc_sma_de.11._linregc2;lspFreq_sma.5._skewness;lspFreq_sma.7._iqr1.2;mfcc_sma.4._quartile2;lspFreq_sma_de.3._iqr1.2
mfcc_sma.6._quartile2;mfcc_sma.11._iqr1.2;mfcc_sma_de.2._quartile3;mfcc_sma.7._quartile3;F0env_sma_de_quartile1
mfcc_sma_de.6._quartile3;mfcc_sma.3._iqr1.3;voiceProb_sma_quartile3;lspFreq_sma.5._iqr2.3;mfcc_sma.6._iqr2.3
mfcc_sma.12._quartile3;lspFreq_sma_de.5._linregc2;lspFreq_sma.4._skewness;mfcc_sma.8._quartile3;mfcc_sma.7._skewness
